2023/11/05 19:50:06 [notice] 27476#20412: signal process started
2023/11/05 19:50:17 [error] 1588#24904: *1 CreateFile() "C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx-1.25.3/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2023/11/05 20:34:14 [notice] 29576#27896: signal process started
2023/11/05 20:35:18 [notice] 4764#16672: signal process started
2023/11/05 20:35:50 [error] 1588#24904: *14 CreateFile() "C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx-1.25.3/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2023/11/05 20:37:40 [notice] 26576#20124: signal process started
2023/11/05 20:40:25 [notice] 18136#7268: signal process started
2023/11/05 20:40:27 [notice] 22296#30300: signal process started
2023/11/05 20:41:06 [error] 1588#24904: *20 CreateFile() "C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx-1.25.3/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2023/11/05 20:41:07 [error] 1588#24904: *20 CreateFile() "C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx-1.25.3/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2023/11/05 20:42:41 [notice] 29772#16684: signal process started
2023/11/05 20:44:31 [notice] 30568#2152: signal process started
2023/11/05 20:45:38 [notice] 29848#24236: signal process started
2023/11/05 20:46:08 [notice] 22176#23800: signal process started
2023/11/05 20:46:08 [error] 22176#23800: CreateFile() "C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx-1.25.3/logs/nginx.pid" failed (2: The system cannot find the file specified)
2023/11/05 20:51:29 [notice] 8224#2932: signal process started
2023/11/05 20:51:41 [notice] 29644#25768: signal process started
2023/11/05 20:52:32 [notice] 18664#28560: signal process started
2023/11/16 18:08:24 [error] 20560#1616: *1 client intended to send too large body: 25912963 bytes, client: 127.0.0.1, server: localhost, request: "POST /api/user/register HTTP/1.1", host: "localhost:80"
2023/11/16 19:01:12 [error] 28060#19816: *32 client intended to send too large body: 25912975 bytes, client: 127.0.0.1, server: localhost, request: "POST /api/user/register HTTP/1.1", host: "localhost:80"
2023/11/16 19:07:43 [error] 30188#22512: *1 client intended to send too large body: 25912975 bytes, client: 127.0.0.1, server: localhost, request: "POST /api/user/register HTTP/1.1", host: "localhost:80"
2023/11/18 16:33:03 [emerg] 22264#40712: invalid value "=" in C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/conf/nginx.conf:45
2023/11/18 16:33:03 [alert] 10952#14368: worker process 22264 exited with code 1
2023/11/18 16:33:03 [alert] 10952#14368: could not respawn worker
2023/11/18 16:33:35 [emerg] 7200#25724: invalid value "=" in C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/conf/nginx.conf:45
2023/11/18 16:36:44 [emerg] 37208#3748: invalid value "=" in C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/conf/nginx.conf:45
2023/11/18 16:37:31 [emerg] 40944#39192: invalid value "=" in C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/conf/nginx.conf:45
2023/11/18 16:38:12 [emerg] 40152#27572: invalid value "=" in C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/conf/nginx.conf:45
2023/11/18 16:39:25 [emerg] 26560#2676: invalid value "=" in C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/conf/nginx.conf:45
2023/11/18 16:39:58 [emerg] 14640#27512: invalid value "=" in C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/conf/nginx.conf:45
2023/11/18 16:40:53 [emerg] 23132#8292: invalid value "=" in C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/conf/nginx.conf:45
2023/11/18 16:42:26 [emerg] 40636#31484: unexpected "}" in C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/conf/nginx.conf:63
2023/11/18 16:44:23 [emerg] 15356#25720: directive "error_page" is not terminated by ";" in C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/conf/nginx.conf:57
2023/11/18 16:45:26 [emerg] 25524#38024: directive "error_page" is not terminated by ";" in C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/conf/nginx.conf:57
2023/11/18 16:49:10 [error] 3536#37048: *5 CreateFile() "C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/html200" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/user/activate/1 HTTP/1.1", upstream: "http://127.0.0.1:8080/api/user/activate/1", host: "127.0.0.1"
2023/11/19 09:09:19 [emerg] 19300#1996: CreateDirectory() "C:\Fakultet\VI\NVT\smart-home\nginx/temp/client_body_temp" failed (3: The system cannot find the path specified)
2023/11/19 10:02:32 [emerg] 18388#11244: CreateDirectory() "C:\Fakultet\VI\NVT\smart-home\nginx/temp/client_body_temp" failed (3: The system cannot find the path specified)
2023/11/19 10:53:45 [emerg] 4804#8824: CreateDirectory() "C:\Fakultet\VI\NVT\smart-home\nginx/temp/client_body_temp" failed (3: The system cannot find the path specified)
2023/11/19 10:55:07 [emerg] 18600#6212: CreateDirectory() "C:\Fakultet\VI\NVT\smart-home\nginx/temp/client_body_temp" failed (3: The system cannot find the path specified)
2023/11/19 16:48:23 [error] 33736#17624: *29 client intended to send too large body: 6221476 bytes, client: 127.0.0.1, server: localhost, request: "POST /api/user/register HTTP/1.1", host: "localhost", referrer: "http://localhost:5173/"
2023/11/19 16:55:25 [error] 33736#17624: *48 client intended to send too large body: 6221471 bytes, client: 127.0.0.1, server: localhost, request: "POST /api/user/register HTTP/1.1", host: "localhost", referrer: "http://localhost:5173/"
2023/11/19 16:56:46 [error] 33736#17624: *50 client intended to send too large body: 6221471 bytes, client: 127.0.0.1, server: localhost, request: "POST /api/user/register HTTP/1.1", host: "localhost", referrer: "http://localhost:5173/"
2023/12/04 19:12:22 [error] 32160#15704: *38 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:8080/favicon.ico", host: "127.0.0.1", referrer: "http://127.0.0.1/api/user/activate/5"
2023/12/04 19:12:24 [error] 32160#15704: *38 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:8080/50x.html", host: "127.0.0.1", referrer: "http://127.0.0.1/api/user/activate/5"
2023/12/04 19:13:32 [error] 32160#15704: *41 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/user/login HTTP/1.1", upstream: "http://127.0.0.1:8080/api/user/login", host: "localhost", referrer: "http://localhost:5173/"
2023/12/04 19:13:34 [error] 32160#15704: *41 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/user/login HTTP/1.1", upstream: "http://127.0.0.1:8080/50x.html", host: "localhost", referrer: "http://localhost:5173/"
2023/12/04 19:24:33 [error] 32160#15704: *73 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/property/getAllProperty HTTP/1.1", upstream: "http://127.0.0.1:8080/api/property/getAllProperty", host: "localhost", referrer: "http://localhost:5173/"
2023/12/04 19:24:35 [error] 32160#15704: *73 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/property/getAllProperty HTTP/1.1", upstream: "http://127.0.0.1:8080/50x.html", host: "localhost", referrer: "http://localhost:5173/"
2023/12/04 19:24:37 [error] 32160#15704: *73 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/property/getAllProperty HTTP/1.1", upstream: "http://127.0.0.1:8080/api/property/getAllProperty", host: "localhost", referrer: "http://localhost:5173/"
2023/12/06 09:50:32 [error] 32160#15704: *4281 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/ownerAll HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/ownerAll", host: "localhost", referrer: "http://localhost:5173/"
2023/12/06 09:50:34 [error] 32160#15704: *4281 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/ownerAll HTTP/1.1", upstream: "http://127.0.0.1:8080/50x.html", host: "localhost", referrer: "http://localhost:5173/"
2023/12/06 19:30:59 [error] 19052#26040: *2 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/property/getProperty/maja HTTP/1.1", upstream: "http://127.0.0.1:8080/api/property/getProperty/maja", host: "localhost", referrer: "http://localhost:5173/"
2023/12/06 19:30:59 [error] 19052#26040: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/property/getProperty/maja HTTP/1.1", upstream: "http://127.0.0.1:8080/api/property/getProperty/maja", host: "localhost", referrer: "http://localhost:5173/"
2023/12/06 19:31:01 [error] 19052#26040: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/ownerAll HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/ownerAll", host: "localhost", referrer: "http://localhost:5173/"
2023/12/06 19:31:13 [error] 19052#26040: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/user/login HTTP/1.1", upstream: "http://127.0.0.1:8080/api/user/login", host: "localhost", referrer: "http://localhost:5173/"
2023/12/06 20:25:07 [error] 19052#26040: *80 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/user/login HTTP/1.1", upstream: "http://127.0.0.1:8080/api/user/login", host: "localhost", referrer: "http://localhost:5173/"
2023/12/06 20:53:46 [error] 19052#26040: *102 CreateFile() "C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/realtime/"
2023/12/06 20:56:11 [error] 19052#26040: *106 CreateFile() "C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/realtime/"
2023/12/06 20:56:22 [error] 19052#26040: *109 CreateFile() "C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/html/realti" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /realti HTTP/1.1", host: "127.0.0.1"
2023/12/06 21:00:14 [error] 19052#26040: *115 "C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/html/realtim/index.html" is not found (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /realtim/ HTTP/1.1", host: "127.0.0.1"
2023/12/06 21:02:41 [error] 19052#26040: *119 "C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/html/app/realtime/index.html" is not found (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /app/realtime/ HTTP/1.1", host: "127.0.0.1"
2023/12/06 21:14:30 [error] 19052#26040: *132 CreateFile() "C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/html/app" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /app HTTP/1.1", host: "127.0.0.1"
2023/12/06 21:38:16 [error] 19052#26040: *136 "C:\Users\Dracooya\Desktop\Fax\7. semestar\Napredno Web Programiranje\smart-home\nginx/html/realtim/index.html" is not found (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /realtim/ HTTP/1.1", host: "127.0.0.1"
2023/12/07 14:30:27 [error] 37844#37600: *26 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /realtime/ HTTP/1.1", upstream: "http://127.0.0.1:8888/realtime/", host: "localhost"
